Search Criteria:,"   Search in: Projects     AdminIC: All, FOA: RM17-025,RM17-027,RM18-001,RM19-002,RM20-001,RM20-002, Exclude Subprojects: Yes.   Fiscal Year: All Fiscal Years  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
Aging;Bioengineering;Biomedical Imaging;Data Science;Machine Learning and Artificial Intelligence;Networking and Information Technology R&D (NITRD),3-Dimensional;Address;Age;age effect;age group;Aging;Algorithmic Analysis;Algorithmic Software;Algorithms;analysis pipeline;Architecture;Area;Artificial Intelligence;Atlases;Back;Biological Markers;Biopsy;California;Cells;Cellular biology;Chemistry;Clinical;Collaborations;Computer software;Coupled;Data;Data Collection;data integration;data visualization;Disease;Environment;Environmental Risk Factor;experience;Exposure to;extracellular;Extracellular Matrix;Funding;Generations;Genome;Goals;Government;high dimensionality;Human body;Image;Image Analysis;image visualization;Imagery;imaging platform;imaging Segmentation;Imaging technology;Individual;innovation;Institutes;Lead;Link;Location;Machine Learning;Maps;Measures;member;Methods;Modeling;Molecular;Molecular Structure;multidimensional data;multidisciplinary;Multiomic Data;multiple omics;multiplexed imaging;Normal tissue morphology;open source;Optics;Organ;Organ Model;Outcome;Pathogenicity;programs;Proteomics;reconstruction;Recording of previous events;Research;Resolution;RNA;sample collection;Sampling;single cell analysis;Skin;Skin Aging;Skin Tissue;software development;Software Tools;Solid;task analysis;Technology;Three-Dimensional Image;TimeLine;Tissue imaging;Tissue Sample;Tissues;tomography;tool;Traction;United States National Institutes of Health;Universities;UV Radiation Exposure;Work;,Multi-Scale 3-D Image Analytics for High Dimensional Spatial Mapping of Normal Tissues,"PROJECT NARRATIVE Composition and organization of cells and the extracellular matrix (ECM) they are embedded in, controls the function of different organs in human body. Alterations in any of these can lead to onset and progression of var- ious diseases. The proposed project will develop image analytics algorithms and open source software for high- resolution 3-D mapping of skin, the largest organ in the human body, and evaluate molecular and architectural changes due to aging and UV exposure.",NCI,9893208,15-SEP-2019,RFA-RM-19-002,1UH3CA246594-01,1,UH3,CA,246594,01,,"LI, JERRY",15-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11995944,"AL-KOFAHI, YOUSEF ",Not Applicable,20,Unavailable,086188401,US,42.795256,-73.867183,685602,GENERAL ELECTRIC GLOBAL RESEARCH CTR,NISKAYUNA,NY,Domestic For-Profits,12309-1027,UNITED STATES, ,15-SEP-2019,31-AUG-2020,310,Research Projects,2019,OD,327735,259678,587413,
No NIH Category available.,"Allergic;Antibodies;Archives;Area;Back;Basic Science;Biopsy;cancer immunotherapy;Cell Nucleus;Cells;Clinical;Cloud Computing;cohort;Communities;computational pipelines;computational platform;computerized tools;Data;Data Set;Decidua;design;Development;Disease;Equipment;Event;Extramural Activities;feature extraction;Feedback;First Pregnancy Trimester;Formalin;Foundations;Freeze Drying;Funding;Goals;Granuloma;graphical user interface;Health;high dimensionality;high resolution imaging;Hippocampus (Brain);Histologic;Hour;Human;Human BioMolecular Atlas Program;human imaging;human tissue;Image;imaging modality;imaging platform;imaging Segmentation;Imaging Techniques;Imaging technology;Immune;Immunosuppression;Individual;insight;Institutes;instrumentation;ion source;Ions;Letters;Link;Machine Learning;machine learning method;Medical center;Messenger RNA;Metals;Morphology;multiplexed imaging;Multiplexed Ion Beam Imaging;new technology;next generation;Noninfiltrating Intraductal Carcinoma;Optics;Organ;Paraffin Embedding;Pathology;Peer Review;Phenotype;Population;protein expression;Proteins;Proteomics;Protocols documentation;Pulmonary Tuberculosis;quantitative imaging;Readiness;Reagent;reagent standardization;Reproducibility;Resolution;Resources;Sampling;Scanning;Signal Transduction;Site;Spectrometry, Mass, Secondary Ion;Stains;Standardization;Structure;Technology;technology validation;Three-Dimensional Image;Time;Tissue Embedding;Tissues;tool;Translational Research;tumor microenvironment;United States National Institutes of Health;user-friendly;virtual;Work;","A robust platform for multiplexed, subcellular proteomic imaging in human tissue","Project Narrative Multiplexed ion beam imaging by time of flight (MIBI-TOF) is a new technology for visualizing dozens of proteins in standard clinical tissue biopsies at high resolution. The work outlined here will create a standardized, high throughput, and user-friendly workflow for using MIBI-TOF in basic and translational research to gain insight into how single cell phenotype and tissue structure are functionally-linked in health and disease.",NCI,10231018,25-AUG-2020,RFA-RM-19-002,5UH3CA246633-02,5,UH3,CA,246633,02,,"LI, JERRY",11-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11579647,"ANGELO, ROBERT MICHAEL ","BENDALL, SEAN CURTIS",18,PATHOLOGY,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,1-SEP-2020,31-AUG-2021,396,Research Projects,2020,OD,485043,214957,700000,
Bioengineering;Biomedical Imaging;Biotechnology;Cancer;Immunotherapy;Machine Learning and Artificial Intelligence;Networking and Information Technology R&D (NITRD),"Allergic;Antibodies;Archives;Area;Atlases;Back;Basic Science;Biopsy;cancer immunotherapy;Cell Nucleus;Cells;Clinical;Cloud Computing;cohort;Communities;computational platform;computerized tools;Data;Data Set;Decidua;design;Development;Disease;Equipment;Event;Extramural Activities;Feedback;First Pregnancy Trimester;Formalin;Foundations;Freeze Drying;Funding;Goals;Granuloma;graphical user interface;Health;high dimensionality;high resolution imaging;Hippocampus (Brain);Histologic;Hour;Human;human imaging;human tissue;Image;Image Analysis;imaging modality;imaging platform;imaging Segmentation;Imaging Techniques;Imaging technology;Immune;Immunosuppression;Individual;insight;Institutes;instrumentation;ion source;Ions;learning strategy;Letters;Link;Machine Learning;Medical center;Messenger RNA;Metals;Morphology;multiplexed imaging;Multiplexed Ion Beam Imaging;new technology;next generation;Noninfiltrating Intraductal Carcinoma;Optics;Organ;Paraffin Embedding;Pathology;Peer Review;Phenotype;Population;programs;protein expression;Proteins;Proteomics;Protocols documentation;Pulmonary Tuberculosis;quantitative imaging;Readiness;Reagent;reagent standardization;Reproducibility;Resolution;Resources;Sampling;Scanning;Signal Transduction;Site;Spectrometry, Mass, Secondary Ion;Stains;Standardization;Structure;Technology;technology validation;Three-Dimensional Image;Time;Tissue Embedding;Tissues;tool;Translational Research;tumor microenvironment;United States National Institutes of Health;user-friendly;virtual;Work;","A robust platform for multiplexed, subcellular proteomic imaging in human tissue","Project Narrative Multiplexed ion beam imaging by time of flight (MIBI-TOF) is a new technology for visualizing dozens of proteins in standard clinical tissue biopsies at high resolution. The work outlined here will create a standardized, high throughput, and user-friendly workflow for using MIBI-TOF in basic and translational research to gain insight into how single cell phenotype and tissue structure are functionally-linked in health and disease.",NCI,9894465,11-SEP-2019,RFA-RM-19-002,1UH3CA246633-01,1,UH3,CA,246633,01,,"LI, JERRY",11-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11579647,"ANGELO, ROBERT MICHAEL ","BENDALL, SEAN CURTIS",18,PATHOLOGY,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,11-SEP-2019,31-AUG-2020,396,Research Projects,2019,OD,376997,213003,590000,
No NIH Category available.,"3-Dimensional;Antibodies;Architecture;Atlases;base;biobank;Biological Assay;Biology;Cells;Communities;Complement;Computer software;Cytometry;Data Set;Detection;Diabetes Mellitus;Disease;experience;Gene Expression;Goals;Health;Human;Human BioMolecular Atlas Program;human tissue;Image;In Situ;innovation;insight;interest;Knowledge;Light;Lipids;Malignant neoplasm of pancreas;Maps;Mass Spectrum Analysis;Metabolic;Methods;Microscopy;Molecular;multidisciplinary;multiple omics;nano-string;Nature;novel;Oligonucleotides;open source;Organ;Organ Procurements;Pancreas;Performance;Phase;Phosphorylation;Post-Translational Protein Processing;Process;protein expression;Proteins;reconstruction;Resolution;RNA;Sampling;Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization;subcellular targeting;success;Technology;Tissue Sample;Tissues;tool;",Multi-omic 3D tissue maps for a Human BioMolecular Atlas,PROJECT NARRATIVE High resolution molecular maps of human organs hold great promise for transforming our understanding of how organs function in health and disease states. The insights obtained from generating molecular maps of the pancreas will have significant impact in understanding diseases of significant burden associated with this organ such as diabetes and pancreatic cancer.,NIDDK,10118874,8-SEP-2020,RFA-RM-20-002,1U54DK127823-01,1,U54,DK,127823,01,,"BRUNSKILL, ERIC WAYNE",10-SEP-2020,31-AUG-2024,Special Emphasis Panel (ZRG1-BST-U (50)R),,9697386,"ANSONG, CHARLES K ","CARSON, JAMES PAUL;MATHEWS, CLAYTON E;QIAN, WEI-JUN ",04,Unavailable,032987476,US,46.309429,-119.308686,685903,BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,Research Institutes,99352-0999,UNITED STATES, ,10-SEP-2020,31-AUG-2021,310,Research Centers,2020,OD,582321,168372,750693,
No NIH Category available.,3-Dimensional;absorption;Address;Advisory Committees;Aging;Algorithms;Anatomy;Antigen-Presenting Cells;Architecture;arteriole;Atlases;Autoimmune Process;autoinflammatory;B-Lymphocytes;Back;base;Biological Assay;Blood;Blood Circulation;blood filter;blood filtration;Body fat;Body Fluids;cancer cell;Cardiovascular system;cDNA Library;Cell Separation;Cells;Chromium;Chyle;Clinical Data;Collaborations;combat;Communities;Confocal Microscopy;Consultations;Coupled;Cytometry;Data;Data Analyses;Data Files;data sharing;daughter cell;Dendritic Cells;Diabetes Mellitus;Discontinuous Capillary;Disease;Dissection;Drainage procedure;Erythrocytes;Excision;Exclusion Criteria;experience;fatty acid transport;file format;Florida;Flow Cytometry;Fluorescence Microscopy;Fluorescence-Activated Cell Sorting;Fluorescent in Situ Hybridization;Formalin;Fostering;Generations;Goals;Housing;Human;Human BioMolecular Atlas Program;Human body;IgG2;Image;imaging modality;Immune;Immune response;Immune system;Immunity;Immunoglobulin M;Immunohistochemistry;Immunologic Surveillance;improved;In Situ Hybridization;Infection;insight;Invaded;Knowledge;Laboratories;Leukocytes;Life;Light;Link;Lobular;Longevity;Lymph;lymph nodes;Lymphatic System;lymphatic vessel;Lymphocyte;lymphoid organ;macrophage;magnetic field;Magnetic Resonance Imaging;Malignant Neoplasms;Malpighian corpuscles;Maps;member;Messenger RNA;Microscopy;millimeter;Morphology;mRNA Expression;multidisciplinary;nanometer;new technology;Normalcy;novel;Online Systems;operation;optical imaging;Optics;Organ;Organ Donor;Organ Procurements;Organism;Pancreas;Paraffin Embedding;particle;Pathologist;Patients;Periarteriolar Lymphoid Sheath;Peripheral;Physiological;Positioning Attribute;Pregnancy;Procedures;Production;programs;Proliferating;protein expression;Protocols documentation;Publishing;Quality Control;reconstruction;Recording of previous events;Reproducibility;Research;Research Personnel;Resolution;Reticular Cell;Rodent;Role;scale up;secondary lymphoid organ;Series;single molecule;single-cell RNA sequencing;Site;Specimen;spectroscopic imaging;Spleen;Splenic Red Pulp;Stains;Stretching;Structure;Structure of germinal center of lymph node;Structure of thymic cortex;synergism;System;T-Cell Development;T-Lymphocyte;Temperature;Thymus Gland;tissue processing;Tissues;trafficking;transcriptome sequencing;Transplantation;United States National Institutes of Health;Universities;Vascular blood supply;Veins;Visualization;web site;Work;,A 3D Tissue Map of the Human Lymphatic System,"With similarities to the circulation, the organization and function of the lymphatic system stretches across the entire human body. It is critical in controlling body fluids, blood filtration, mounting a defense against infections and cancer, as well as regulating immune cells to protect against autoimmune/autoinflammatory diseases. Tissue organization and function are directly linked in spleen (blood filtration), thymus (T lymphocyte development) and lymph nodes (immune cell priming and activation for local/peripheral immunity) Developing three-dimensional (3D) tissue maps of these normal immune organs, across decades of the human life span, would provide novel insights that would improve our understanding of the immune system structure and function including the trafficking of white blood cells and the immune surveillance mechanisms toward combating infectious insults. We plan to obtain a macro image of each tissue with high-resolution magnetic resonance imaging (MRI) to serve as the guide on which our optical microscopy pipeline will provide a detailed microanatomical description of each tissue, from nanometer to millimeter resolution. We will then co-register the expression of proteins and mRNAs onto our 3D tissue maps with state of the art imaging mass cytometry and multiplexed, high throughput in situ hybridization. All of our optical imaging modalities and biomolecule co- registration studies will utilize a common file format for 3D reconstruction which will facilitate streamlined data sharing with the HuBMAP Integration, Visualization, and Engagement (HIVE), other HuBMAP Tissue Mapping Centers (TMCs), and the broader research community.",NIAID,9970184,6-JUL-2020,RFA-RM-17-027,5U54AI142766-03,5,U54,AI,142766,03,,"SINGLETON, KENTNER L",14-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1874444,"ATKINSON, MARK A. ","BODENMILLER, BERND ;NICK, HARRY S",03,PATHOLOGY,969663814,US,29.67667,-82.340932,513806,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,SCHOOLS OF MEDICINE,32611-5500,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Centers,2020,OD,1227475,547525,1775000,
No NIH Category available.,3-Dimensional;absorption;Address;Advisory Committees;Aging;Algorithms;Anatomy;Antigen-Presenting Cells;Architecture;arteriole;Atlases;Autoimmune Process;autoinflammatory;B-Lymphocytes;Back;base;Biological Assay;Blood;Blood Circulation;blood filter;blood filtration;Body fat;Body Fluids;cancer cell;Cardiovascular system;cDNA Library;Cell Separation;Cells;Chromium;Chyle;Clinical Data;Collaborations;combat;Communities;Confocal Microscopy;Consultations;Coupled;Cytometry;Data;Data Analyses;Data Files;data sharing;daughter cell;Dendritic Cells;Diabetes Mellitus;Dimensions;Discontinuous Capillary;Disease;Dissection;Drainage procedure;Erythrocytes;Excision;Exclusion Criteria;experience;fatty acid transport;file format;Florida;Flow Cytometry;Fluorescence Microscopy;Fluorescence-Activated Cell Sorting;Fluorescent in Situ Hybridization;Formalin;Fostering;Generations;Goals;Housing;Human;Human body;IgG2;Image;Imagery;imaging modality;Immune;Immune response;Immune system;Immunity;Immunoglobulin M;Immunohistochemistry;Immunologic Surveillance;improved;In Situ Hybridization;Infection;insight;Invaded;Knowledge;Laboratories;Leukocytes;Life;Light;Link;Lobular;Longevity;Lymph;lymph nodes;Lymphatic;Lymphatic System;lymphatic vessel;Lymphocyte;Lymphoid;macrophage;magnetic field;Magnetic Resonance Imaging;Malignant Neoplasms;Malpighian corpuscles;Maps;member;Messenger RNA;Microscopy;millimeter;Morphology;mRNA Expression;multidisciplinary;nanometer;new technology;Normalcy;novel;Online Systems;operation;optical imaging;Optics;Organ;Organ Donor;Organ Procurements;Organism;Pancreas;Paraffin Embedding;particle;Pathologist;Patients;Periarteriolar Lymphoid Sheath;Peripheral;Physiological;Positioning Attribute;Pregnancy;Procedures;Production;programs;Proliferating;protein expression;Protocols documentation;Publishing;Quality Control;reconstruction;Recording of previous events;Reproducibility;Research;Research Personnel;Resolution;Reticular Cell;Rodent;Role;scale up;Series;single molecule;single-cell RNA sequencing;Site;Specimen;spectroscopic imaging;Spleen;Splenic Red Pulp;Stains;Stretching;Structure;Structure of germinal center of lymph node;Structure of thymic cortex;synergism;System;T-Cell Development;T-Lymphocyte;Temperature;Thymus Gland;tissue processing;Tissues;trafficking;transcriptome sequencing;Transplantation;United States National Institutes of Health;Universities;Vascular blood supply;Veins;web site;Work;,A 3D Tissue Map of the Human Lymphatic System,"With similarities to the circulation, the organization and function of the lymphatic system stretches across the entire human body. It is critical in controlling body fluids, blood filtration, mounting a defense against infections and cancer, as well as regulating immune cells to protect against autoimmune/autoinflammatory diseases. Tissue organization and function are directly linked in spleen (blood filtration), thymus (T lymphocyte development) and lymph nodes (immune cell priming and activation for local/peripheral immunity) Developing three-dimensional (3D) tissue maps of these normal immune organs, across decades of the human life span, would provide novel insights that would improve our understanding of the immune system structure and function including the trafficking of white blood cells and the immune surveillance mechanisms toward combating infectious insults. We plan to obtain a macro image of each tissue with high-resolution magnetic resonance imaging (MRI) to serve as the guide on which our optical microscopy pipeline will provide a detailed microanatomical description of each tissue, from nanometer to millimeter resolution. We will then co-register the expression of proteins and mRNAs onto our 3D tissue maps with state of the art imaging mass cytometry and multiplexed, high throughput in situ hybridization. All of our optical imaging modalities and biomolecule co- registration studies will utilize a common file format for 3D reconstruction which will facilitate streamlined data sharing with the HuBMAP Integration, Visualization, and Engagement (HIVE), other HuBMAP Tissue Mapping Centers (TMCs), and the broader research community.",NIAID,9785370,1-JUL-2019,RFA-RM-17-027,5U54AI142766-02,5,U54,AI,142766,02,,"RICE, JEFFREY S",14-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1874444,"ATKINSON, MARK A. ","BODENMILLER, BERND ;NICK, HARRY S",03,PATHOLOGY,969663814,US,29.67667,-82.340932,513806,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,SCHOOLS OF MEDICINE,32611-5500,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Centers,2019,OD,701809,298191,1000000,
No NIH Category available.,absorption;Address;Advisory Committees;Aging;Algorithms;Anatomy;Antigen-Presenting Cells;Architecture;arteriole;Atlases;Autoimmune Process;autoinflammatory;B-Lymphocytes;Back;base;Biological Assay;Blood;Blood Circulation;blood filter;blood filtration;Body fat;Body Fluids;cancer cell;Cardiovascular system;cDNA Library;Cell Separation;Cells;Chromium;Chyle;Clinical Data;Collaborations;combat;Communities;Confocal Microscopy;Consultations;Coupled;Cytometry;Data;Data Analyses;Data Files;data sharing;daughter cell;Dendritic Cells;Diabetes Mellitus;Dimensions;Discontinuous Capillary;Disease;Dissection;Drainage procedure;Erythrocytes;Excision;Exclusion Criteria;experience;fatty acid transport;file format;Florida;Flow Cytometry;Fluorescence Microscopy;Fluorescence-Activated Cell Sorting;Fluorescent in Situ Hybridization;Formalin;Fostering;Generations;Goals;Housing;Human;Human body;IgG2;Image;Imagery;imaging modality;Immune;Immune response;Immune system;Immunity;Immunoglobulin M;Immunohistochemistry;Immunologic Surveillance;improved;In Situ Hybridization;Infection;insight;Invaded;Knowledge;Laboratories;Leukocytes;Life;Light;Link;Lobular;Longevity;Lymph;lymph nodes;Lymphatic;Lymphatic System;lymphatic vessel;Lymphocyte;Lymphoid;macrophage;magnetic field;Magnetic Resonance Imaging;Malignant Neoplasms;Malpighian corpuscles;Maps;member;Messenger RNA;Microscopy;millimeter;Morphology;mRNA Expression;multidisciplinary;nanometer;new technology;Normalcy;novel;Online Systems;operation;optical imaging;Optics;Organ;Organ Donor;Organ Procurements;Organism;Pancreas;Paraffin Embedding;particle;Pathologist;Patients;Periarteriolar Lymphoid Sheath;Peripheral;Physiological;Positioning Attribute;Pregnancy;Procedures;Production;programs;Proliferating;protein expression;Protocols documentation;Publishing;Quality Control;reconstruction;Recording of previous events;Reproducibility;Research;Research Personnel;Resolution;Reticular Cell;Rodent;Role;scale up;Series;single molecule;single-cell RNA sequencing;Site;Specimen;spectroscopic imaging;Spleen;Splenic Red Pulp;Stains;Stretching;Structure;Structure of germinal center of lymph node;Structure of thymic cortex;synergism;System;T-Cell Development;T-Lymphocyte;Temperature;Thymus Gland;tissue processing;Tissues;trafficking;transcriptome sequencing;Transplantation;United States National Institutes of Health;Universities;Vascular blood supply;Veins;web site;Work;,A 3D Tissue Map of the Human Lymphatic System,"With similarities to the circulation, the organization and function of the lymphatic system stretches across the entire human body. It is critical in controlling body fluids, blood filtration, mounting a defense against infections and cancer, as well as regulating immune cells to protect against autoimmune/autoinflammatory diseases. Tissue organization and function are directly linked in spleen (blood filtration), thymus (T lymphocyte development) and lymph nodes (immune cell priming and activation for local/peripheral immunity) Developing three-dimensional (3D) tissue maps of these normal immune organs, across decades of the human life span, would provide novel insights that would improve our understanding of the immune system structure and function including the trafficking of white blood cells and the immune surveillance mechanisms toward combating infectious insults. We plan to obtain a macro image of each tissue with high-resolution magnetic resonance imaging (MRI) to serve as the guide on which our optical microscopy pipeline will provide a detailed microanatomical description of each tissue, from nanometer to millimeter resolution. We will then co-register the expression of proteins and mRNAs onto our 3D tissue maps with state of the art imaging mass cytometry and multiplexed, high throughput in situ hybridization. All of our optical imaging modalities and biomolecule co- registration studies will utilize a common file format for 3D reconstruction which will facilitate streamlined data sharing with the HuBMAP Integration, Visualization, and Engagement (HIVE), other HuBMAP Tissue Mapping Centers (TMCs), and the broader research community.",NIAID,9659935,14-SEP-2018,RFA-RM-17-027,1U54AI142766-01,1,U54,AI,142766,01,,"BOURCIER, KATARZYNA",14-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1874444,"ATKINSON, MARK A. ","BODENMILLER, BERND ;NICK, HARRY S",03,PATHOLOGY,969663814,US,29.67667,-82.340932,513806,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,SCHOOLS OF MEDICINE,32611-5500,UNITED STATES, ,14-SEP-2018,30-JUN-2019,310,Research Centers,2018,OD,328457,171543,500000,
Bioengineering;Data Science;Networking and Information Technology R&D (NITRD),Academia;Address;Anatomy;Atlases;Biological Availability;Brain;Cells;Collaborations;Communities;Community Developments;community involvement;computer science;Computer software;computerized tools;Computing Methodologies;Cost Sharing;Data;data integration;Development;Ensure;Environment;experience;FAIR principles;flexibility;follow-up;Funding;Histologic;Human;Human body;Human Resources;Image Analysis;Imagery;improved;Industry;Infrastructure;innovation;Institutes;Institution;International;Joints;Lead;Letters;Libraries;Measurement;method development;Methods;Modeling;Molecular;novel;open source;Participant;Privacy;Process;programs;repository;Research;Research Personnel;Resolution;Schools;Side;software development;sound;synergism;Technology;Testing;Tissues;tool;tool development;United States National Institutes of Health;Validation;Vision;Work;working group;,"Comprehensive, flexible and FAIR Tools for the HuBMAP HIVE","The Human BioMolecular Atlas Program (HuBMAP) will redefine our understanding of the human body by recovering multi-scale tissue organization -- anatomical, histological, and molecular, at unprecedented resolution. We propose to develop efficient, scalable, and easy to use computational tools to enable the use of HuBMAP collected data by consortium participants, the international research community and the large software and method development community.",OD,10004218,11-SEP-2019,RFA-RM-18-001,3OT2OD026682-01S2,3,OT2,OD,026682,01,S2,"BEST, TYLER KORY",21-JUN-2019,20-JUN-2020,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,8661172,"BAR-JOSEPH, ZIV  ","PATEN, BENEDICT ;TEICHMANN, SARAH ",18,BIOSTATISTICS & OTHER MATH SCI,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,SCHOOLS OF ARTS AND SCIENCES,15213-3815,UNITED STATES, ,11-SEP-2019,20-JUN-2020,310,Others,2019,OD,66182,33818,100000,
Bioengineering;Networking and Information Technology R&D,Academia;Address;Anatomy;Atlases;Biological Availability;Brain;Cells;Collaborations;Communities;Community Developments;computer science;Computer software;computerized tools;Computing Methodologies;Cost Sharing;Data;data integration;Development;Ensure;Environment;experience;FAIR principles;flexibility;follow-up;Funding;Histologic;Human;Human body;Human Resources;Image Analysis;Imagery;improved;Industry;innovation;Institutes;Institution;International;Joints;Lead;Letters;Libraries;Measurement;method development;Methods;Modeling;Molecular;novel;open source;Participant;Privacy;Process;programs;repository;Research;Research Infrastructure;Research Personnel;Resolution;Schools;Side;software development;sound;synergism;Technology;Testing;Tissues;tool;tool development;United States National Institutes of Health;Validation;Vision;Work;working group;,"Comprehensive, flexible and FAIR Tools for the HuBMAP HIVE","The Human BioMolecular Atlas Program (HuBMAP) will redefine our understanding of the human body by recovering multi-scale tissue organization -- anatomical, histological, and molecular, at unprecedented resolution. We propose to develop efficient, scalable, and easy to use computational tools to enable the use of HuBMAP collected data by consortium participants, the international research community and the large software and method development community.",OD,9687288,21-SEP-2018,RFA-RM-18-001,1OT2OD026682-01,1,OT2,OD,026682,01,,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,8661172,"BAR-JOSEPH, ZIV  ","PATEN, BENEDICT ;TEICHMANN, SARAH ",18,BIOSTATISTICS & OTHER MATH SCI,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,SCHOOLS OF ARTS AND SCIENCES,15213-3815,UNITED STATES, ,21-SEP-2018,20-JUN-2021,310,Others,2018,OD,240260,109736,349996,
No NIH Category available.,"3-Dimensional;Architecture;Atlases;Award;base;Blood;Brain imaging;BRAIN initiative;Budgets;Cancer Research Network;Cells;Censuses;Centers for Disease Control and Prevention (U.S.);Chicago;Cloud Computing;collaboratory;Collection;Complex;Computer software;computing resources;cost;cyber infrastructure;Data;data management;data resource;Data Science;Data Set;data sharing;data tools;Deposition;design;Ensure;experience;FaceBase;FAIR principles;flexibility;Goals;Grant;Health Technology;Human;Human BioMolecular Atlas Program;Human body;Hybrids;Image;image archival system;imaging scientist;Informatics;Infrastructure;Institutes;Lead;Leadership;Licensing;Maps;National Heart, Lung, and Blood Institute;National Institute of Dental and Craniofacial Research;National Institute of General Medical Sciences;open data;Output;Participant;peer networks;Philosophy;Process;programs;Recording of previous events;Reproducibility;Research;Resources;Role;Running;Scientist;Security;Services;Site;Site Visit;social;software development;Solid;Structure;Supercomputing;System;Technology;Time;Tissues;tool;tumor;United States National Institutes of Health;Universities;usability;user centered design;virtual;Vision;Visualization;Work;",Flexible Hybrid Cloud Infrastructure for Seamless Management of HuBMAP Resources,"To provide for the Infrastructure Component (IC) of the HuBMAP HIVE, Pittsburgh Supercomputing Center (PSC) and the University of Pittsburgh (Pitt) will create a flexible and scalable hybrid cloud infrastructure in close coordination with the HIVE Collaboratory, the HuBMAP Consortium, and stakeholders world wide. This proposed IC will seamlessly connect HuBMAP with storage and co-located compute resources for depositing, accessing, querying, searching, analyzing, and visualizing both raw and processed HuBMAP data. The IC will provide the open data platform for study of tissue organization and function through 3D biomolecular tissue maps in the spatial framework of the human body envisioned by HuBMAP.",OD,10250640,16-SEP-2020,RFA-RM-18-001,3OT2OD026675-01S5,3,OT2,OD,026675,01,S5,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,12023650,"BLOOD, PHILIP D. ","SILVERSTEIN, JONATHAN C.",18,NONE,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,OTHER DOMESTIC HIGHER EDUCATION,15213-3815,UNITED STATES, ,16-SEP-2020,20-JUN-2021,310,Others,2020,OD,488592,111405,599997,
