,Unnamed: 0,index,PaperId,Rank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,CreatedDate,Author IDs,Affiliation IDs,Citation IDs,Citation Years,Journal Name,Journal Long Name
0,0,0,3018772534,22102,10.1101/2020.04.22.056473,Repository,scconsensus combining supervised and unsupervised clustering for cell type identification in single cell rna sequencing data,scConsensus: combining supervised and unsupervised clustering for cell type identification in single-cell RNA sequencing data,,2020,2020-04-24,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,22,0,0,bioRxiv,,,2020-05-01,1965123225;2404466943;2564793325;2661934806;3017527058;3018164515;3018268377;3020052720,66068411;66068411;66068411;66068411;66068411;66068411;66068411;66068411,,,biorxiv,bioRxiv
1,1,1,3014809529,19137,10.1101/2020.04.03.024075,Repository,cells and gene expression programs in the adult human heart,Cells and gene expression programs in the adult human heart,,2020,2020-04-10,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,90,8,8,bioRxiv,,,2020-04-10,188985068;808621600;1757423707;1770715402;1857911839;1969700334;2013969016;2014111527;2017281719;2075015928;2089380705;2122116343;2123826026;2135218083;2171457629;2332709146;2617991870;2643772447;2750667549;2781734694;2797897561;2884286235;2906581359;2911956307;2947060088;2981080779;2989410372;3002487276;3014247414;3014970491;3015125264;3019204465,154425047;1299303238;205582932;136199984;136199984;136199984;241749;136199984;47508984;205582932;136199984;205582932;241749;205582932;154425047;154425047;136199984;1299303238;205582932;136199984;205582932;136199984;157773358;205582932;3018134672,3018815390;3021478071;3027762545;3039335474;3040035491;3043318404;3043773740;3044590806,2020;2020;2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
2,2,2,2996615913,19439,10.1016/J.CELL.2019.11.019,Journal,toward a common coordinate framework for the human body,Toward a Common Coordinate Framework for the Human Body,,2019,2019-12-12,2019-12-12,Cell,110447773.0,,,179.0,7.0,1455.0,1467.0,62,8,8,Cell,,,2019-12-26,258609416;258609416;839208953;1893730172;1893730172;2026615643;2274994884;2302481518;2578834099;2605681316;2651573374;2659285089;2890264039;2921220107;2972391804,241749;1303153112;107606265;107606265;1344073410;57206974;241749;57206974;241749;107606265;107606265;57206974;107606265;107606265,2998902856;3013453745;3021920958;3027032661;3033274691;3034428319;3045964436;3048825209,2020;2020;2020;2020;2020;2020;2020;2020,cell,Cell
3,3,3,2902162324,19701,10.1038/S41591-018-0269-2,Journal,single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma,Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma,,2018,2018-12-01,2018-12-06,Nat Med,203256638.0,,,24.0,12.0,1867.0,1876.0,52,46,46,Nature Medicine,,,2018-12-11,8454286;58711374;58711374;209311896;318907388;318907388;688088336;1604669447;1878787081;1878787081;1908350256;1916359023;1953251000;1953251000;1979319809;1991526172;2001878213;2012851077;2053323352;2133799997;2133799997;2159494341;2163504990;2176423526;2226535633;2226535633;2291162272;2556465055;2556465055;2617471383;2617471383;2619226797;2792656671;2800481519;2800481519;2853072164;2853072164;2891049987;2893376100;2893717481;2915538739;2952491018;2952491018;3023112514,53964585;16391192;2799807261;1334819555;197251160;2800052317;53964585;16391192;16391192;2799807261;53964585;1284308235;53964585;2799807261;53964585;53964585;53964585;53964585;88155538;197251160;2799899409;53964585;53964585;53964585;16391192;2799807261;53964585;16391192;2799810450;16391192;2799807261;88155538;1334819555;16391192;2799810450;197251160;2799899409;53964585;53964585;16391192;1334819555;16391192;2799807261;2799807261,2912751388;2917457305;2920132785;2937744962;2945489451;2945857099;2947780543;2949324433;2954008252;2955250170;2955744786;2970250038;2972278340;2973107067;2975867837;2976539292;2978474447;2979970450;2979981308;2984629040;2989117876;2990201239;2990546890;2995231946;2996045497;2997004225;3003556023;3004464927;3004537045;3005470808;3006998201;3009113141;3009554897;3010299674;3011390754;3012887203;3015416694;3017087821;3023866088;3033412277;3035410364;3035551042;3043371327;3044063134;3045446803;3049084893,2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature medicine,Nature Medicine
4,4,4,2995666881,19825,10.1101/2019.12.21.884759,Repository,a single cell atlas of the human healthy airways,A single-cell atlas of the human healthy airways,,2019,2019-12-23,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,40,15,15,bioRxiv,,,2019-12-26,685263330;2148389542;2155566185;2156797198;2236144579;2243681729;2319324131;2438421872;2897777416;2967163283;3026088306,1294671590;1334819555;1294671590;154526488;1294671590;1294671590;1294671590;1294671590;1294671590;1294671590;154526488,2972398273;3011483298;3013415926;3017089760;3017312007;3017315642;3017352939;3021478071;3030748957;3033590859;3037917761;3042407214;3043229697;3044382958;3045836602,2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
5,5,5,3000289322,20274,10.1101/2020.01.15.897066,Repository,sampling artifacts in single cell genomics cohort studies,Sampling artifacts in single-cell genomics cohort studies,,2020,2020-01-15,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,31,2,2,bioRxiv,,,2020-01-23,1426473896;1982254526;2022441925;2045995288;2057684683;2100996717;2119807863;2143497781;2160847932;2168953700;2189314120;2468635643;2593546435;2641088827;2796100477;2896247891,170486558;71999127,2946232537;3027438788,2020;2020,biorxiv,bioRxiv
6,6,6,3005336461,20071,10.1101/2020.02.06.937110,Repository,single cell sequencing of developing human gut reveals transcriptional links to childhood crohn s disease,Single-cell sequencing of developing human gut reveals transcriptional links to childhood Crohn’s disease,,2020,2020-02-07,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,66,1,1,bioRxiv,,,2020-02-14,808621600;808621600;2049722633;2054808901;2122116343;2160910483;2171613815;2253113723;2296369887;2548026943;2616613758;2617991870;2997610120;3005239329,241749;1303153112;241749;241749;241749;241749;241749;241749,3045413141,2020,biorxiv,bioRxiv
7,7,7,3002764984,20084,10.1101/2020.01.28.911115,Repository,a cell atlas of human thymic development defines t cell repertoire formation,A cell atlas of human thymic development defines T cell repertoire formation,,2020,2020-01-28,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,57,2,2,bioRxiv,,,2020-01-30,266576251;268520948;808621600;1838593635;1964242466;2000418716;2000418716;2014308265;2017281719;2067250673;2084137914;2084784121;2093860906;2093860906;2097729428;2129329611;2155582066;2217285401;2233825738;2332709146;2510284968;2527985335;2613446890;2625309547;2637325967;2807128444;2807845296;2807845296;2884286235;2887826378;2939660585;2952572300;2990580812;3002283692;3002487276;3007006718,84884186;241749;32597200;32597200;241749;2802466933;32597200;241749;241749;241749;84884186;45129253;2801081054;84884186;84884186;241749;84884186;84884186;84884186;84884186;84884186;241749;2801782436;84884186;32597200;32597200;32597200;2801081054,3033944283;3034650555,2020;2020,biorxiv,bioRxiv
8,8,8,2898254774,18654,10.1101/455451,Repository,rewiring of the cellular and inter cellular landscape of the human colon during ulcerative colitis,Rewiring of the cellular and inter-cellular landscape of the human colon during ulcerative colitis,,2018,2018-10-29,,Cold Spring Harbor Laboratory,2734324842.0,,,,,455451.0,,103,14,14,bioRxiv,,,2018-11-02,1718566843;1893730172;1932003521;1993710734;2029226851;2029538148;2040623387;2095879290;2101955863;2113421697;2134488754;2154698850;2200739511;2269722293;2288540477;2301917402;2423203700;2426470670;2547217903;2553391517;2755276293;2767270345;2767968948;2886220366;2898475075;2898481923;2898854238;2915121722;2949109857,136199984;63966007;107606265;63966007;136199984;107606265;107606265;136199984;107606265;136199984;136199984;107606265;107606265;107606265;107606265;136199984;136199984;63966007;107606265;107606265;107606265;107606265;136199984;107606265;107606265;107606265;107606265,2902382430;2910935850;2928090978;2935762014;2937711511;2952432315;2953584518;2958555575;2965552103;2965651733;2969900772;2970241300;2972245199;2995773479,2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019,biorxiv,bioRxiv
9,9,9,2985501582,19929,10.1084/JEM.20190811,Journal,re evaluation of human bdca 2 dc during acute sterile skin inflammation,Re-evaluation of human BDCA-2+ DC during acute sterile skin inflammation.,,2020,2020-03-02,2019-12-17,Rockefeller University Press,22947807.0,,,217.0,3.0,,,75,1,1,Journal of Experimental Medicine,,,2019-11-22,808621600;1823371667;2075944749;2117314912;2122888081;2135121084;2135121084;2144982075;2146048787;2147514862;2272812467;2289756586;2477735063;2600280462;2616613758;2637111095;2807128444;2995002404,241749;34931013;170203145;170203145;34931013;75124487;34931013;34931013;34931013;34931013;87048295;34931013;2802742124;34931013,3035307004,2020,journal of experimental medicine,Journal of Experimental Medicine
10,10,10,2965601168,21052,10.1101/721258,Repository,single cell transcriptome atlas of immune cells in human small intestine and in celiac disease,Single cell transcriptome atlas of immune cells in human small intestine and in celiac disease,,2019,2019-08-01,,Cold Spring Harbor Laboratory,2734324842.0,,,,,721258.0,,30,0,0,bioRxiv,,,2019-08-13,65198523;233473533;1973271967;2039692897;2046234191;2078841190;2509137517;2884497930,145872427;1281400175;2800192669;145872427;145872427;1281400175;1281400175;145872427,,,biorxiv,bioRxiv
11,11,11,2959566316,18133,10.1038/S41586-019-1373-2,Journal,a human liver cell atlas reveals heterogeneity and epithelial progenitors,A human liver cell atlas reveals heterogeneity and epithelial progenitors.,,2019,2019-07-10,2019-07-10,Nature Publishing Group,137773608.0,,,572.0,7768.0,199.0,204.0,43,93,97,Nature,,,2019-07-23,1969191532;1969191532;2052631442;2052631442;2132184164;2132184164;2151060445;2151060445;2312161287;2312161287;2574941978;2574941978;2605807469;2912299194;2912299194;2945191965;2945191965,68947357;154526488;149899117;161046081;149899117;161046081;68947357;154526488;68947357;154526488;68947357;154526488;149899117;68947357;154526488;149899117;161046081,2946139575;2946232537;2965166776;2966975430;2968525218;2972879801;2973357647;2979905131;2980701143;2981445780;2981825750;2982595637;2983801385;2989426180;2991055454;2991122210;2994771578;2996112306;2996615913;2996983107;2998854504;2999862174;3001749946;3003578334;3003759472;3003883396;3004038529;3004557356;3004662718;3004823033;3006066671;3007839361;3008394508;3009534778;3009807180;3009878673;3010039779;3010159046;3011091134;3011225975;3011562013;3011628866;3012169388;3013151148;3013845627;3013894281;3014648308;3014899725;3014989202;3015352768;3015990806;3016058505;3016963857;3018580217;3019068524;3020611295;3020839725;3022313427;3024506599;3024979446;3024992482;3026585576;3028909445;3028930105;3030739213;3030742091;3031491097;3032090133;3032695822;3035705215;3035983066;3036084130;3036559833;3036668505;3036843909;3037610516;3037937919;3039520581;3039622640;3040035491;3040633579;3040838205;3041223109;3041504593;3042561617;3043005329;3045446803;3046633651;3047433286;3047860188;3048541978;3049668458;3069847764,2019;2020;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature,Nature
12,12,12,3006497234,19722,10.1038/S41590-020-0602-Z,Journal,distinct microbial and immune niches of the human colon,Distinct microbial and immune niches of the human colon.,,2020,2020-02-17,2020-02-17,Nature Publishing Group,41063453.0,,,21.0,3.0,343.0,353.0,56,12,12,Nature Immunology,,,2020-02-24,808621600;808621600;1972548115;1994235494;1999816892;2000418716;2017281719;2084137914;2097729428;2103895523;2106969419;2157727073;2160537808;2160910483;2169723020;2169723020;2277412805;2616613758;2792454517;2884286235;2913723858;2997610120;2998340827;3006172043,241749;1303153112;170203145;241749;170203145;166337079;166337079;78570951;2802600346;78570951;2802466933;241749;170203145,2921716346;3009168905;3020176200;3020611295;3021109105;3024063983;3025596927;3028833085;3040770894;3041183942;3045054610;3046166588,2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature immunology,Nature Immunology
13,13,13,3015957416,19594,10.1101/2020.04.07.007237,Repository,single cell profiling of immature human postnatal thymocytes resolves the complexity of intra thymic lineage differentiation and thymus seeding precursors,Single cell profiling of immature human postnatal thymocytes resolves the complexity of intra-thymic lineage differentiation and thymus seeding precursors.,,2020,2020-04-08,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,54,0,0,bioRxiv,,,2020-04-17,292525169;808621600;1838593635;1893730172;1893730172;1964242466;1978653152;2014308265;2064757396;2064757396;2148259600;2155582066;2200739511;2208992150;2301917402;2567489210;2618358030;2745327642;2811297669;2949109857;2952572300;3028014673;3080097433,107606265;241749;32597200;63966007;107606265;32597200;32597200;32597200;107606265;2801663869;32597200;107606265;32597200;107606265;107606265;32597200;32597200;32597200;107606265;32597200;107606265;107606265,,,biorxiv,bioRxiv
14,14,14,3017387364,19197,10.1101/2020.04.09.20059204,Repository,myocyte specific upregulation of ace2 in cardiovascular disease implications for sars cov 2 mediated myocarditis,Myocyte Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2 mediated myocarditis,,2020,2020-04-14,2020-04-14,Cold Spring Harbor Laboratory Press,3005729997.0,,,,,,,8,7,7,medRxiv,3036076168.0,18434.0,2020-04-24,99916460;2046479391;2112861037;2218102335;2331397739;2700635163;2750579438;2972391804;2997489137;2998668626;3016985846;3043618262;3049127807,107606265;107606265;136199984;67348948;79576946;67348948;107606265;107606265;67348948;107606265;107606265;67348948;79576946,3025258653;3036027609;3037058363;3038011822;3039972052;3044722629;3081173167,2020;2020;2020;2020;2020;2020;2020,medrxiv,medRxiv
15,15,15,2946232537,19010,10.1038/S41587-020-0469-4,Journal,benchmarking single cell rna sequencing protocols for cell atlas projects,Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects,,2020,2020-04-06,2020-04-06,Cold Spring Harbor Laboratory Press,106963461.0,,,38.0,6.0,747.0,755.0,50,25,25,Nature Biotechnology,,,2019-05-29,37172038;37172038;129122981;1014425963;1893730172;1893730172;1893730172;1975720375;1982254526;2052631442;2057684683;2066505662;2099656916;2125133238;2134414515;2161444558;2163037984;2163037984;2168475809;2326812427;2342661560;2528642961;2592472535;2605807469;2626831053;2681664849;2766131746;2766459605;2767154652;2789549340;2791719063;2898854238;2900112990;2904424491;2923016622;2944931154;2944941731;2945129883;2945704540;2946354746;2946370869;2951203559;2984150162;3014480986,17937529;1303153112;107606265;8204097;63966007;107606265;1344073410;146399215;149899117;170486558;28166907;205582932;11932220;77826658;1303153112;107606265;922094183;205582932;149899117;7877124;8204097;8204097;8204097;28166907;107606265;922094183;149899117;97018004;7877124;170486558;205582932,2966975430;2970424612;2981646319;2981970954;2984418259;2989061519;3010766518;3014446624;3021060601;3026821679;3027136156;3033158360;3033600886;3033700682;3037124236;3037588811;3040237180;3042462196;3043092316;3044069820;3045956966;3047192470;3049318948;3080284185;3080427029,2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature biotechnology,Nature Biotechnology
16,16,16,2896336686,18643,,Repository,the human cell atlas white paper,The Human Cell Atlas White Paper,,2018,2018-10-11,2018-10-11,Cornell University Press,2596918415.0,,,,,,,166,16,16,arXiv: Tissues and Organs,,,2018-10-26,3577622;70608962;100811632;151315093;162893701;219304189;258609416;280067873;407941172;808621600;814294502;1161788587;1257286133;1533827266;1616441262;1691823860;1701522494;1893730172;1913560555;1955585312;1979319809;1982910728;1989754750;1992524071;2000418716;2005007123;2029538148;2060382888;2068298254;2086305950;2090352283;2100238460;2131774643;2145301830;2147726189;2167451827;2217285401;2248578541;2288540477;2557216553;2612295446;2655743172;2896000766;2896488536;2897093172;2897217484;2897367099;2897521985;2897741468;2991816026,,2790169792;2809587012;2910935850;2928090978;2942380588;2946643188;2951588756;2961802200;2982615798;2985349137;2998902856;3001040093;3010223416;3014862523;3028909445;3040481179,2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020,arxiv tissues and organs,arXiv: Tissues and Organs
17,17,17,2970045251,19963,10.1101/741405,Repository,lung spleen and oesophagus tissue remains stable for scrnaseq in cold preservation,"Lung, spleen and oesophagus tissue remains stable for scRNAseq in cold preservation",,2019,2019-08-31,,Cold Spring Harbor Laboratory,2734324842.0,,,,,741405.0,,42,6,6,bioRxiv,,,2019-09-05,37172038;808621600;1982910728;2000418716;2017281719;2084137914;2097729428;2168145128;2332709146;2535764002;2615736840;2617811059;2884286235;2910033155;2964854202;2970108327;2970210414;2990580812;3024082943;3026577647;3027636935,1303153112;241749;241749;241749;241749;241749;1303153112,3000289322;3001059335;3015343551;3016710356;3032695822;3037323216,2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
18,18,18,3013151148,18488,10.1038/S41586-020-2157-4,Journal,construction of a human cell landscape at single cell level,Construction of a human cell landscape at single-cell level.,,2020,2020-03-25,2020-03-25,Nature Publishing Group,137773608.0,,,581.0,7808.0,303.0,309.0,67,37,37,Nature,,,2020-04-03,2067196346;2128994829;2231072065;2233410816;2306286868;2419971725;2435604379;2589440338;2607196539;2609843557;2609849504;2617494363;2619993537;2641878890;2677970162;2716953760;2788085382;2788143700;2788424638;2788617991;2895017187;2905242404;2917721926;2949496151;2950909037;2951047134;3013062601;3013130565;3013267764;3013374297;3013378007;3013410879;3013575928;3013774228;3013878418;3013888179;3040979788;3041984310;3063667553,76130692;76130692;76130692;130130602;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;76130692;130130602;76130692;19820366;76130692;76130692;76130692;76130692;76130692,3014446624;3015352768;3016176767;3016228379;3016710356;3020213931;3021228543;3021478071;3021762797;3022075571;3023219191;3024099221;3025594233;3026727166;3026924203;3028529788;3033439943;3033600886;3033772859;3035388318;3035696153;3036724628;3037588811;3038256363;3040909549;3042106384;3042426253;3043092316;3043318404;3043371327;3044069820;3044807330;3044952796;3046573191;3047674778;3048152825;3048851776,2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature,Nature
19,19,19,2970241300,19178,10.1101/746743,Repository,the enteric nervous system of the human and mouse colon at a single cell resolution,The enteric nervous system of the human and mouse colon at a single-cell resolution,,2019,2019-08-28,,Cold Spring Harbor Laboratory,2734324842.0,,,,,746743.0,,122,9,9,bioRxiv,,,2019-09-05,1819630908;1893730172;1893730172;2040623387;2095879290;2116746536;2116746536;2205556841;2288540477;2288540477;2301917402;2410817814;2410817814;2754386858;2890740254;2900819461;2900852944;2949109857;2970694480,136199984;63966007;107606265;107606265;107606265;1283280774;136199984;107606265;136199984;107606265;107606265;136199984;107606265;136199984;107606265;107606265;107606265;136199984,2973075426;2989481043;2999054219;3000146675;3005140116;3023126733;3027165829;3034038971;3038839978,2019;2019;2020;2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
