disc_id	disc_name	x	y	color
1	Biology	278	62	#bab86c
2	Biotechnology	301	124	#50c878
3	Medical Specialties	350	177	#ff0000
4	Chemical, Mechanical, & Civil Engineering	217	142	#87ceeb
5	Chemistry	250	230	#0000ff
6	Earth Sciences	235	48	c04000
7	Electrical Engineering & Computer Science	138	196	#e6e6fa
8	Brain Research	410	171	#f0e130
9	Humanities	484	42	#ffff99
10	Infectious Diseases	359	149	#cb4154
11	Math & Physics	156	229	#c54b8c
12	Health Professionals	390	245	#ffe5b4
13	Social Sciences	484	147	#ffff00
