subd_id	term	tfraction
1	CELL_GROWTH_PROCESSES	0.810624
1	EPIGENETIC_INACTIVATION	0.695652
1	HCT116_CELLS	0.653333
1	RING-FINGER_DOMAIN	0.641975
1	P19(ARF)	0.619835
1	KINASE_C-ABL	0.617284
1	SWI-SNF_COMPLEX	0.614458
1	CHK1	0.604167
1	ONCOGENIC_RAS	0.59633
1	INK4A_LOCUS	0.581395
1	ANCHORAGE_INDEPENDENT_GROWTH	0.579235
1	ANCHORAGE-INDEPENDENT_GROWTH	0.576923
1	P14ARF_PROTEIN	0.551643
1	S-PHASE_ENTRY	0.54918
1	TUMOR_SUPPRESSION	0.543554
1	P53-DEPENDENT_APOPTOSIS	0.542857
1	P53-INDUCED_APOPTOSIS	0.53125
1	TUMOR_SUPPRESSOR	0.530159
1	NIH_3T3_CELLS	0.526786
1	E2F	0.506494
1	HA-RAS	0.5
1	CHECKPOINT_KINASE_1	0.497143
1	CHECKPOINT_KINASE_2	0.494505
1	TUMOR-SUPPRESSOR_P53	0.487421
1	DECOY_RECEPTORS	0.486239
1	MDM2	0.48503
1	PREMATURE_SENESCENCE	0.480769
1	CHROMATIN_IMMUNOPRECIPITATION	0.477807
1	MUTANT_P53	0.477477
1	BREAST-CARCINOMA_CELLS	0.472826
1	TRAIL-INDUCED_APOPTOSIS	0.465021
1	P21(WAF1/CIP1)	0.463203
1	TUMORIGENICITY	0.459184
1	TRANSCRIPTION_FACTOR_E2F1	0.458484
1	ADENOCARCINOMA_CELLS	0.454545
1	MYC	0.452297
1	CDK_INHIBITORS	0.448718
1	RETINOBLASTOMA_GENE-PRODUCT	0.444444
1	TUMOR-SUPPRESSOR	0.441098
1	CASPASE-8	0.440529
1	DEATH_RECEPTORS	0.44
1	HUMAN_CANCER-CELLS	0.439791
1	BH3_DOMAIN	0.439024
1	DEPENDENT_DEGRADATION	0.438017
1	G(1)_ARREST	0.436047
1	CHROMATIN_REMODELING	0.431034
1	PROTEIN_MDM2	0.43067
1	NEOPLASTIC_TRANSFORMATION	0.429224
1	PROTEIN_P19	0.429091
1	PROTEIN_P130	0.429022
1	CARCINOMA_CELLS	0.428395
1	IAP	0.426901
1	BREAST_EPITHELIUM	0.424471
1	PROTO-ONCOGENE_PROTEINS_C-RAF	0.421703
1	CDC25_PHOSPHATASE	0.421233
1	HUMAN_CANCERS	0.419913
1	TUMORIGENESIS	0.41798
1	PROTEIN_P300	0.414384
1	PROTEASOME_PATHWAY	0.412214
1	CELL-CYCLE_ARREST	0.410473
1	RETINOBLASTOMA_PROTEIN	0.408511
1	TRANSCRIPTION_FACTOR_E2F	0.408353
1	TATA-BINDING_PROTEIN	0.405325
1	GROWTH_ARREST	0.40354
1	TRANSCRIPTIONAL_REPRESSION	0.403533
1	HISTONE_DEACETYLASES	0.40304
1	C-MYC	0.396594
1	MAMMARY_TUMOR_VIRUS,_MOUSE	0.396078
1	CYCLIN_DEPENDENT_KINASE_6	0.395604
1	SECOND_MITOCHONDRIAL_ACTIVATOR_OF_CASPASE	0.393665
1	HISTONE_H4	0.392157
1	PROTEIN_P14	0.392157
1	ONCOGENE_H_RAS	0.390805
1	FAMILY_PROTEINS	0.389474
1	UBIQUITIN_LIGASE	0.389091
1	CPG_METHYLATION	0.386364
1	S_PHASE	0.386293
1	HISTONE_H3	0.386108
1	CANCER_MODEL	0.384988
1	HUMAN_BREAST	0.382979
1	UBIQUITINATION	0.380952
1	FACTOR_1-ALPHA	0.376206
1	CYCLIN_DEPENDENT_KINASE_INHIBITOR_1	0.375246
1	CARCINOMA-CELLS	0.375
1	CYCLIN_E	0.37234
1	HISTONE_DEACETYLASE	0.369832
1	DEPENDENT_KINASES	0.369281
1	ONCOGENE_C_MYB	0.368098
1	X_LINKED_INHIBITOR_OF_APOPTOSIS	0.368
1	NUCLEOSOMES	0.367281
1	RAS	0.365762
1	TUMOR-METASTASIS	0.363128
1	HIF-ALPHA	0.361963
1	SIGNALING_COMPLEX	0.361233
1	PROTEIN_BID	0.357009
1	STAT3	0.35474
1	PI3K	0.350649
1	CANCER-CELLS	0.35
1	BCL-X-L	0.349624
1	APOPTOTIC_PROTEASE_ACTIVATING_FACTOR_1	0.348786
1	GENES,_MYC	0.345992
1	DEATH_RECEPTOR	0.34413
1	MAMMALIAN_TARGET_OF_RAPAMYCIN	0.340909
1	BCL-2_FAMILY	0.339378
1	MITOSIS_INHIBITION	0.338824
1	ONCOGENE_C_MYC	0.338747
1	TRICHOSTATIN_A	0.338298
1	CYCLIN_DEPENDENT_KINASE_4	0.336095
1	INDUCE_APOPTOSIS	0.335793
1	HISTONE_ACETYLATION	0.334862
1	ALPHA-INDUCED_APOPTOSIS	0.333333
1	INVASIVENESS	0.333333
1	PROTEIN_BAK	0.332242
1	C-MET	0.331593
1	CYCLIN_A	0.33112
1	JNK	0.331058
1	RAF_PROTEIN	0.330996
1	RAS_PROTEINS	0.330464
1	CASPASE_7	0.32623
1	CYCLIN_D	0.324645
1	MAP_KINASE_KINASE_KINASES	0.323256
1	PTEN_PROTEIN	0.319754
1	HYPOXIA-INDUCIBLE_FACTOR	0.317881
1	PROTEIN_METHYLATION	0.315126
1	PROTEIN_PHOSPHATASE_2A	0.31401
1	NUCLEOSOME	0.313145
1	PROTEIN_P27	0.310606
1	CYTOCHROME-C_RELEASE	0.310564
1	CASPASE_9	0.310406
1	CANCER_CELL_DESTRUCTION	0.310345
1	HYPOXIA_INDUCIBLE_FACTOR_1ALPHA	0.305641
1	TRANSCRIPTION_FACTOR_ETS_1	0.303371
1	PROTEIN_BCL_XL	0.301872
1	CASPASE_2	0.30117
1	CARCINOMA_CELL	0.299049
1	FLICE_INHIBITORY_PROTEIN	0.297059
1	KAPPA-B-ALPHA	0.292929
1	CYCLIN_D3	0.292537
1	MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE	0.292308
1	MITOGEN-ACTIVATED_PROTEIN_KINASE_KINASES	0.290868
1	INHIBITOR_OF_APOPTOSIS_PROTEIN	0.287518
1	ANTHRA[1,9_CD]PYRAZOL_6(2H)_ONE	0.287037
1	AP-1	0.286859
1	CELL-GROWTH	0.28481
1	PROTO-ONCOGENE_PROTEINS_C-JUN	0.283771
1	THROMBOSPONDIN_1	0.28264
1	APOPTOSIS_INDUCING_FACTOR	0.281831
1	NF-KAPPA_B	0.279716
1	CASPASE_8	0.279703
1	JUN	0.279245
1	BREAST_CANCER_RESISTANCE_PROTEIN	0.278788
1	ERK	0.278592
1	C-JUN	0.277038
1	MAP_KINASES	0.276289
1	TUMOR_VASCULARIZATION	0.275934
1	PROTEIN_C_MYC	0.274229
1	CASPASES	0.270691
1	ACETYLTRANSFERASES	0.269916
1	CASPASE_6	0.269122
