subd_id1	subd_id2	weight	color
375	270	0.383	Yellow
375	377	0.383	Yellow
270	377	0.391	Yellow
375	43	0.383	Yellow
270	43	0.414	Yellow
377	43	0.391	Yellow
43	94	0.557	Yellow
57	164	0.306	Gray40
94	522	0.531	Yellow
164	276	0.458	Lavender
57	276	0.315	Gray40
522	74	0.531	Yellow
57	74	0.572	Yellow
522	173	0.531	Yellow
74	173	0.604	Yellow
57	173	0.572	Yellow
43	476	0.371	Gray40
94	476	0.421	Gray40
74	476	0.403	Gray40
57	56	0.353	Gray40
74	208	0.318	Gray40
173	208	0.318	Gray40
208	446	0.477	Lavender
56	446	0.53	Lavender
276	446	0.472	Lavender
164	446	0.458	Lavender
276	359	0.424	Lavender
446	359	0.424	Lavender
359	291	0.283	Gray40
74	291	0.333	Gray40
291	331	0.266	Gray40
56	371	0.392	Lavender
291	156	0.5	Mulberry
74	156	0.403	Gray40
331	3	0.399	Lavender
276	3	0.472	Lavender
522	3	0.354	Gray40
359	3	0.424	Lavender
74	3	0.403	Gray40
56	3	0.53	Lavender
208	3	0.477	Lavender
164	3	0.458	Lavender
371	3	0.392	Lavender
446	3	0.636	Lavender
173	3	0.404	Gray40
446	356	0.407	Lavender
56	356	0.407	Lavender
371	356	0.392	Lavender
446	160	0.524	Lavender
3	160	0.524	Lavender
208	160	0.477	Lavender
331	160	0.399	Lavender
359	160	0.424	Lavender
356	306	0.407	Lavender
371	306	0.392	Lavender
56	306	0.443	Lavender
56	458	0.53	Lavender
356	458	0.407	Lavender
306	458	0.443	Lavender
371	458	0.392	Lavender
3	474	0.538	Lavender
208	137	0.477	Lavender
446	137	0.593	Lavender
3	137	0.593	Lavender
156	14	0.608	Mulberry
476	14	0.669	Mulberry
94	14	0.421	Gray40
56	188	0.451	Lavender
474	188	0.451	Lavender
446	295	0.504	Lavender
3	295	0.504	Lavender
208	295	0.477	Lavender
160	295	0.504	Lavender
137	295	0.504	Lavender
476	221	0.52	Mulberry
14	221	0.52	Mulberry
156	221	0.52	Mulberry
291	428	0.333	Gray40
