subd_id	subd_name	disc_id	x	y	size
1	Clinical Cancer Research	3	339.43698	146.67145	14.79
2	Circulation	3	366.45367	185.0398	12.41
3	Data Mining	7	130.03195	187.49751	20
4	Protein Science	2	316.6134	156.77612	9.56
5	Signal Processing	7	147.77652	200.77571	10.83
6	Neuroscience; Molecular & Cellular	8	380.51117	159.23383	10.34
7	Anesthetics & Analgesics	3	368.3706	172.75125	6.08
8	Urology	3	357.508	130.97015	6.34
9	Immunology	10	333.22684	144.48756	7.92
10	Macromolecules & Polymers	5	239.9361	215.7612	9.74
11	Affective Disorders	8	422.68372	175.20895	4.04
12	Oncology	3	358.14697	142.02985	7.07
13	Surface Science	11	181.78914	240.3383	16.98
14	Nonlinear Analysis	11	133.86581	216.99005	4.82
15	Hospital Financial Management	12	395.84665	251.39801	3.62
16	Rheumatology	3	353.03516	164.14925	4.96
17	Occupational Health	12	335.78275	228.04974	3.27
18	Organic Chemistry	5	250.79872	241.56717	14.74
19	Leukemia	3	343.85977	150.08516	6.14
20	Virology	10	328.11502	126.054726	5.06
21	Plant Physiology	1	291.05432	99.0199	4.85
22	Allergy & Clinical Immunology	3	353.03516	151.8607	3.52
23	Material Science	4	188.89165	230.8456	6.62
24	Dermatology	3	353.03516	197.32835	5.71
25	Kidney	3	361.34186	162.9204	4.81
26	Pharmacology Science	3	363.2588	150.63184	4.85
27	Law	13	486.58148	108.850746	2.66
28	Medical Imaging	8	372.20447	153.08955	5.14
29	Bacteriology	10	311.5016	129.74129	4.97
30	Marine Biology	1	253.17288	51.15443	3.4
31	Developmental Biology	3	349.84024	150.63184	4.23
32	Digestion	3	355.79932	84.67076	4.87
33	Toxicology Applied Pharmacology	3	333.8658	155.54726	2.87
34	Transportation Research	4	195.84665	154.3184	3.57
35	Inorganic Chemistry	5	244.40895	241.56717	9.42
36	Chemical Engineering	4	206.07028	196.0995	5.54
37	Pharmaceutical Research	5	306.38977	230.50746	3.41
38	Semiconducting Materials	11	180.51118	234.19403	16.38
39	Diabetes Care	3	349.84024	210.84576	3.37
40	Clinical Neurophysiology	8	411.1821	160.46269	3.28
41	Ophthalmology	3	360.70288	193.64178	4.47
42	Nutrition	12	334.5048	186.26866	3.23
43	Finance	13	101.277954	144.48756	2.32
44	Neurosurgery	8	383.06708	154.3184	4.38
45	Fertility	3	342.8115	165.37811	3.23
46	Applied Optics	7	163.25879	232.96518	8.49
47	Nuclear Engineering	4	195.20767	183.81094	3.5
48	Molecular Cell Biology	10	326.1981	143.25871	4.48
49	Food Chemistry	5	304.47284	170.29353	4.67
50	Obstetrics	3	347.9233	172.75125	4.97
51	Chest & Respiratory	3	354.9521	159.23383	4.27
52	Earthquake Engineering	4	207.98721	180.12437	3.53
53	Zoology	1	270.60703	43.721394	2.41
54	Pharmaceutical Design	5	301.91693	203.47264	4.55
55	AntiMicrobial Agents	10	329.39297	144.48756	3.77
56	Systems Software	7	125.02245	177.90712	2.15
57	Decision Support Systems	13	100	161.69154	2.64
58	Business Ethics	13	491.92496	150.49611	2.88
59	Vascular Surgery	3	369.00958	151.8607	3.28
60	Pulp & Paper	4	199.73804	200.69295	3.14
61	Seismology	6	230.35144	47.40796	3.3
62	Bone Joint Surgery	12	377.95526	182.58209	3.98
63	Neurology	8	400.3195	159.23383	4.62
64	Algebra	11	135.78275	219.44775	3.51
65	Antenna	7	156.869	223.13432	4.26
66	Circuit Systems	7	150.2019	211.55807	4.23
67	Nursing Specialists	12	406.70926	246.48259	3.77
68	Retinal Surgery	12	367.73163	193.64178	3.94
69	Psychopharmacology	8	404.79233	160.46269	3.12
70	Aeronautics & Astronautics	4	178.59425	192.41293	3.94
71	Psychoanalysis	12	441.85303	180.12437	1.74
72	Oceanography	6	234.82428	65.8408	2.42
73	Sports Medicine	12	384.98404	196.0995	2.87
74	Operations Research	13	113.41853	175.20895	2.98
75	Chromatography; Electrophoresis	5	277.63577	220.67662	4.79
76	Pediatrics	3	350.47925	167.83582	4.46
77	Cardiovascular	3	360.70288	178.89552	3.82
78	Paleobiology	6	243.131	43.721394	1.78
79	Economics	13	498.08307	127.283585	2.68
80	Hypertension	12	364.53674	199.78607	3.37
81	Human Molecular Genetics	3	359.42493	137.11443	3.18
82	Clinical Endocrinology	3	345.3674	193.64178	3.17
83	Dietetics	3	347.28433	209.61691	2.47
84	Clinical Microbiology	10	320.4473	133.42786	3.13
85	Hospital Pharmacy	12	371.5655	228.04974	5.06
86	Gas Turbines	4	190.09584	185.0398	2.38
87	Remote Sensing	6	240.57507	47.40796	3.41
88	Computational Chemistry	5	213.73802	252.62686	7.16
89	Surgery	3	365.17572	143.25871	3.54
90	Ceramics	4	190.73482	228.04974	6.74
91	AIDS Research	3	334.5048	144.48756	2.34
92	Military Aviation	4	177.3163	166.60696	5.35
93	Medical Records	12	398.40256	255.08458	1.99
